Референс,Дата операції,Платник,IBAN платника,Сума,Валюта,Призначення платежу
BNK-2026000,11.06.2023,Шевченко Андрій,UA190011920000026207001192,"500,00",UAH,Благодійна допомога
BNK-2026001,13.05.2023,Мороз Вікторія,UA676609480000026207660948,"5 000,00",UAH,Добровільна пожертва
BNK-2026002,03.11.2023,Дяченко Сергій,UA513745590000026207374559,"500,00",UAH,Благодійна допомога
BNK-2026003,06.05.2026,Гуменюк Ірина,UA218025970000026207802597,"200,00",UAH,Пожертва на статутну діяльність
BNK-2026004,19.05.2025,Мельник Іван Андрійович,UA524079010000026207407901,"5 000,00",UAH,Благодійна допомога
BNK-2026005,28.09.2024,Романюк Дмитро,UA150156370000026207015637,"5 000,00",UAH,Благодійна допомога
BNK-2026006,05.07.2026,Кравченко Петро,UA450982420000026207098242,"2 000,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026007,07.04.2023,Лисенко Ольга,UA904908150000026207490815,"5 000,00",UAH,Добровільна пожертва
BNK-2026008,26.08.2024,Мельник Іван Андрійович,UA524079010000026207407901,"2 000,00",UAH,Добровільна пожертва
BNK-2026009,19.12.2023,Шевченко Андрій,UA053237740000026207323774,"1 000,00",UAH,Добровільна пожертва
BNK-2026010,12.03.2025,Романюк Дмитро,UA150156370000026207015637,"1 000,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026011,29.03.2025,Ковальчук Олена Петрівна,UA859325190000026207932519,"500,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026012,16.04.2024,Шевченко Андрій,UA053237740000026207323774,"5 000,00",UAH,Благодійна допомога
BNK-2026013,27.04.2023,Павленко Юрій,UA516193330000026207619333,"1 000,00",UAH,Добровільна пожертва
BNK-2026014,15.10.2025,Павленко Юрій,UA516193330000026207619333,"500,00",UAH,Добровільна пожертва
BNK-2026015,27.08.2025,"ТОВ ""Технобуд""",UA257654490000026207765449,"250 000,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026016,23.09.2024,Гуменюк Ірина,UA218025970000026207802597,"500,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026017,06.06.2026,Зґурський Андрій,UA826314720000026207631472,"5 000,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026018,30.12.2024,Дяченко Сергій,UA513745590000026207374559,"500,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026019,23.03.2026,Мороз Вікторія,UA676609480000026207660948,"200,00",UAH,Добровільна пожертва
BNK-2026020,28.01.2026,Гриценко Володимир,UA496135220000026207613522,"50 000,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026021,31.07.2025,Лисенко Ольга,UA904908150000026207490815,"300,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026022,19.02.2024,Шевченко Андрій,UA190011920000026207001192,"1 000,00",UAH,Добровільна пожертва
BNK-2026023,28.03.2024,Мельничук Іван Богданович,UA310573550000026207057355,"2 000,00",UAH,Добровільна пожертва
BNK-2026024,01.06.2023,Мельник Іван Андрійович,UA524079010000026207407901,"1 000,00",UAH,Пожертва на статутну діяльність
BNK-2026025,02.12.2025,Гуменюк Ірина,UA218025970000026207802597,"500,00",UAH,Пожертва на статутну діяльність
BNK-2026026,05.11.2023,Мельник Іван Андрійович,UA524079010000026207407901,"200,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026027,15.08.2023,Шевченко Андрій,UA190011920000026207001192,"1 000,00",UAH,Добровільна пожертва
BNK-2026028,16.08.2023,"ТОВ ""Технобуд""",UA257654490000026207765449,"25 000,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2026029,23.11.2025,"ТОВ ""Технобуд""",UA257654490000026207765449,"25 000,00",UAH,Благодійний внесок згідно з публічною офертою
BNK-2099001,20.02.2026,Ковальчук Олена Петрівна,UA773052990000026207777001122,"2 500,00",UAH,Благодійна пожертва
BNK-2099010,11.03.2026,Мельник Іван Андрійович,UA113052990000026207111000111,"1 000,00",UAH,Пожертва
BNK-2099011,11.03.2026,Мельничук Іван Богданович,UA223052990000026207222000222,"1 000,00",UAH,Пожертва
BNK-2099020,05.05.2026,"ТОВ ""Технобуд""",UA903052990000026007999000999,"150 000,00",UAH,Благодійна допомога згідно з договором №14/26
BNK-2099030,17.06.2026,Лисенко Ольга,UA553052990000026207555000555,,UAH,Пожертва
