Transaction ID,Date,Name,From Email Address,Payer ID,Gross,Fee,Net,Currency,Status,Type,Subscription ID,Reference Txn ID,Country
PP-5000000,08/16/2023 23:55,Viktoriia Moroz,v.moroz@gmail.com,PAYER67660948,200.00,-16.80,183.20,UAH,Completed,Donation Payment,,,UA
PP-5000001,03/17/2024 15:03,Ivan Melnychuk,melnychuk.ivan@gmail.com,PAYER31057355,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000002,04/14/2023 13:47,Olha Lysenko,o.lysenko@ukr.net,PAYER90490815,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000003,08/11/2024 23:24,Olha Lysenko,o.lysenko@ukr.net,PAYER90490815,100.00,-3.70,96.30,USD,Completed,Donation Payment,,,UA
PP-5000004,09/08/2025 10:07,Katarzyna Nowak,k.nowak@wp.pl,PAYER03736486,50.00,-2.00,48.00,USD,Completed,Donation Payment,,,PL
PP-5000005,10/19/2024 23:49,Michael Brennan,,PAYER32260892,200.00,-7.10,192.90,EUR,Completed,Donation Payment,,,US
PP-5000006,11/18/2023 03:42,Michael Brennan,m.brennan@protonmail.com,PAYER32260892,200.00,-7.10,192.90,USD,Completed,Donation Payment,,,US
PP-5000007,02/08/2024 23:20,Olena Kovalchuk,o.lena.kovalchuk+kse@gmail.com,PAYER85932519,200.00,-16.80,183.20,UAH,Completed,Donation Payment,,,UA
PP-5000008,04/11/2023 09:22,Volodymyr Hrytsenko,v.hrytsenko@outlook.com,PAYER49613522,"100,000.00","-3,410.00","96,590.00",UAH,Completed,Donation Payment,,,UA
PP-5000009,10/21/2023 15:48,Petro Kravchenko,p.kravchenko@ukr.net,PAYER45098242,20.00,-0.98,19.02,USD,Completed,Donation Payment,,,UA
PP-5000010,04/10/2025 11:28,Yurii Pavlenko,y.pavlenko@gmail.com,PAYER51619333,500.00,-27.00,473.00,UAH,Completed,Donation Payment,,,UA
PP-5000011,05/03/2024 20:27,Andrii Shevchenko,a.shevchenko@i.ua,PAYER19001192,200.00,-16.80,183.20,UAH,Completed,Donation Payment,,,UA
PP-5000012,11/06/2025 06:12,Nataliia Savchenko,,PAYER65542803,"2,000.00",-78.00,"1,922.00",UAH,Completed,Donation Payment,I-2965542803,,UA
PP-5000013,01/05/2025 11:30,Dmytro Romaniuk,d.romaniuk@gmail.com,PAYER15015637,300.00,-20.20,279.80,UAH,Completed,Subscription Payment,I-1315015637,,UA
PP-5000014,06/13/2023 11:35,Serhii Diachenko,s.diachenko@i.ua,PAYER51374559,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000015,08/17/2023 11:57,Iryna Humeniuk,,PAYER21802597,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000016,12/21/2023 14:16,Mariia Bondarenko,m.bondarenko@gmail.com,PAYER39129412,300.00,-20.20,279.80,UAH,Completed,Donation Payment,,,UA
PP-5000017,09/08/2025 06:41,Dmytro Romaniuk,,PAYER15015637,"1,000.00",-44.00,956.00,UAH,Completed,Subscription Payment,I-1315015637,,UA
PP-5000018,12/12/2023 15:12,Anna Schmidt,anna.schmidt@web.de,PAYER81720714,50.00,-2.00,48.00,EUR,Completed,Donation Payment,,,DE
PP-5000019,12/03/2025 05:18,Olena Kovalchuk,o.lena.kovalchuk+kse@gmail.com,PAYER85932519,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000020,07/21/2023 03:14,Petro Kravchenko,p.kravchenko@ukr.net,PAYER45098242,25.00,-1.15,23.85,USD,Completed,Donation Payment,,,UA
PP-5000021,02/12/2023 09:29,Iryna Humeniuk,i.humeniuk@ukr.net,PAYER21802597,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000022,02/27/2025 19:14,Dmytro Romaniuk,,PAYER15015637,500.00,-27.00,473.00,UAH,Completed,Subscription Payment,I-1315015637,,UA
